p1_won,surface,rank_p,form_old_p,form_new_p,career_p,career_conf,surface_p,surface_conf,h2h_p,h2h_w,fatigue_pp,model_old,model_new,p1_name,p2_name,date,tour_type,tournament,match_id,market_p
0,Clay,0.4663945193416955,0.3414634146341463,0.40616844972305977,0.4285714285714285,1.0,0.42056074766355134,1.0,,0.0,-0.0,0.4121431208490901,0.4310412389094356,Garcia Longo Nicolas,Farjat Tomas,2026-09-20,atp-single,Buenos Aires challenger,3328291,0.3438256658595641
0,Hard,0.40659886998121764,0.4,0.41831543244771063,0.37570621468926557,0.9,0.38293216630196936,1.0,,0.0,3.0,0.42473602179364023,0.43261548957696594,Zylberman Amelia,Simes Ashleigh,2026-09-11,wta-single,UTR Pro Tennis Series,3317769,0.18451400329489287
1,Hard,0.5849399013408425,,,0.5473684210526316,1.0,0.5255052935514919,1.0,,0.0,0.0,0.5661541611967371,0.5552225974461672,Duhan Chirag,Poritskyy Andriy,2026-09-09,atp-single,Futures 2026,3319459,0.8974874371859296
1,Clay,0.5220777820514529,0.5844155844155844,0.6119094926403672,0.6179775280898876,0.975,0.7333333333333334,1.0,,0.0,0.0,0.5744609937326648,0.6224402026750512,Galus Piotr,Mares Vojtech,2026-09-21,atp-single,Futures 2026,3328567,
0,Indoors,0.4676136078955516,0.813953488372093,0.8598693291414816,0.5658198614318706,1.0,0.7715285252960172,1.0,0.75,0.25,-0.0,0.6157956525665051,0.7035419884101695,Ohwaki Yui,Im Heerae,2026-09-13,wta-single,Kyoto ITF,3323459,
0,Clay,0.3946438965569824,0.5121951219512195,0.504587040727863,0.4782608695652174,1.0,0.4850882832978882,1.0,,0.0,-0.0,0.46169996269113966,0.4614397401942445,Oz Ipek,Yaneva Elizara,2026-09-18,wta-single,Pazardzhik ITF,3326143,0.3887468030690536
1,,0.5948219129905671,0.5223880597014926,0.49278699136942583,0.6666666666666666,0.45,0.6666666666666666,0.45,,0.0,0.0,0.5784530500783917,0.5663709813714257,Mattioli Francesca,Crowder Riley,2026-09-11,wta-single,UTR Pro Match Series,3320635,0.6870588235294117
1,Hard,0.5730969417072765,0.5,0.5087268175898162,0.46431718061674004,1.0,0.43956080176881707,1.0,,0.0,3.0,0.5424713741080056,0.53712818702197,Singh Digvijay Pratap,Chen Yan Cheng,2026-09-11,atp-single,Futures 2026,3320793,0.7644859813084113
0,Hard,0.41739304786795484,0.37209302325581395,0.35589827823725995,0.4308231173380035,1.0,0.4038058313882187,1.0,,0.0,-0.0,0.4067697294872574,0.3923657191644778,Zhu Shixun,Zhao Zhao,2026-09-09,atp-single,Futures 2026,3318033,0.18494271685761055
1,,0.5203963574314397,0.6666666666666666,0.6182992665773857,0.43294329432943296,1.0,0.43294329432943296,1.0,,0.0,0.0,0.5400021061425131,0.5238796394460861,Ifi Nicolas,Lopez Noah,2026-09-20,atp-single,UTR Pro Tennis Series 5,3327947,0.5866666666666667
