player_slug,name,elo,matches,elo_hard,matches_hard,elo_clay,matches_clay,elo_grass,matches_grass,elo_indoors,matches_indoors
/player/shelton-38989/,Shelton B.,1892.1,41,1901.9,17.0,1664.4,13.0,1721.8,9.0,,
/player/jasika/,Jasika O.,1891.4,59,1744.1,33.0,1701.6,9.0,1800.3,5.0,,
/player/perapekhina/,Perapekhina Y.,1890.9,18,1913.4,18.0,,,,,,
/player/dougaz/,Dougaz A.,1890.9,45,1742.0,17.0,1842.3,18.0,1725.3,8.0,,
/player/kruijer/,Kruijer N.,1890.5,18,,,1792.5,9.0,,,,
/player/brunold-a21c2/,Brunold M.,1889.7,39,,,1857.4,39.0,,,,
/player/ivashka/,Ivashka I.,1889.4,34,1859.9,31.0,1506.8,3.0,,,,
/player/zarate-fab15/,Zarate C.,1888.3,47,1838.7,13.0,1756.8,29.0,1790.4,5.0,,
/player/nakashima-68876/,Nakashima B.,1888.1,34,1810.2,18.0,1551.6,10.0,1603.4,6.0,,
/player/ezzat-00f23/,Ezzat Y.,1887.7,29,1901.8,27.0,,,,,,
/player/diaz-acosta/,Diaz Acosta F.,1887.3,48,1451.5,1.0,1906.2,46.0,1446.4,1.0,,
/player/osaka-fa603/,Osaka N.,1887.0,29,1743.8,10.0,1735.6,10.0,1782.8,9.0,,
/player/ivanovski/,Ivanovski K.,1886.6,16,,,1823.4,12.0,,,,
/player/vujovic-b2995/,Vujovic L.,1883.9,45,,,1859.4,45.0,,,,
/player/kwon-b3d34/,Kwon S.,1881.3,31,1833.9,21.0,,,1609.1,8.0,,
/player/cuenin/,Cuenin S.,1881.3,32,1906.6,11.0,1703.6,21.0,,,,
/player/sholokhova/,Sholokhova M.,1879.9,19,1875.3,16.0,,,,,,
/player/kachmazov/,Kachmazov A.,1879.5,21,1774.2,13.0,1762.5,8.0,,,,
/player/chidekh/,Chidekh C.,1878.7,43,1845.7,22.0,1607.6,7.0,1609.5,11.0,1575.2,3.0
/player/nijboer/,Nijboer R.,1877.9,42,1750.2,8.0,1770.5,34.0,,,,
/player/svitolina/,Svitolina E.,1877.8,31,1722.3,11.0,1935.6,15.0,1541.6,4.0,,
/player/overbeck/,Overbeck C.,1876.4,33,1551.2,11.0,1967.4,22.0,,,,
/player/nakashima-baff8/,Nakashima B.,1875.5,28,1776.2,15.0,1827.1,10.0,1384.7,2.0,,
/player/tabacco/,Tabacco F.,1874.9,54,1694.9,12.0,1826.2,36.0,,,,
/player/michelsen-a98bb/,Michelsen A.,1874.2,36,1803.4,18.0,1576.3,13.0,1599.2,5.0,,
/player/grechkina-aa7e1/,Grechkina A.,1873.8,19,,,,,,,,
/player/jade/,Jade D.,1872.2,23,1825.0,7.0,1741.7,16.0,,,,
/player/alcaraz-5ab70/,Alcaraz C.,1872.1,11,1727.9,5.0,1740.3,6.0,,,,
/player/villanueva-55ff0/,Villanueva G.,1871.8,53,1795.1,15.0,1813.6,38.0,,,,
/player/mayew-5a4f0/,Mayew I.,1870.8,13,1465.5,1.0,1522.5,2.0,,,,
/player/williams-f998b/,Williams C.,1870.0,9,,,1870.4,9.0,,,,
/player/siskova/,Siskova A.,1870.0,40,1874.7,12.0,1803.4,25.0,1434.3,1.0,1515.2,2.0
/player/kubka/,Kubka M.,1868.3,45,1840.2,32.0,1679.8,6.0,1695.5,5.0,1504.6,2.0
/player/palicova/,Palicova B.,1867.6,42,1505.0,5.0,1867.3,36.0,,,1457.3,1.0
/player/basiletti/,Basiletti N.,1867.4,40,,,1862.6,40.0,,,,
/player/vanshelboim/,Vanshelboim E.,1866.5,42,1855.9,11.0,1731.4,30.0,,,,
/player/djakouris-d0c41/,Djakouris C.,1866.1,22,1413.3,1.0,,,,,,
/player/badosa/,Badosa P.,1865.5,29,1687.7,6.0,1872.4,18.0,1497.3,5.0,,
/player/encheva/,Encheva L.,1864.5,33,,,1848.0,27.0,,,1663.8,5.0
/player/tsitsipas-b526f/,Tsitsipas S.,1864.3,35,1689.9,14.0,1768.8,15.0,1530.0,4.0,,
/player/zhiyenbayeva/,Zhiyenbayeva S.,1864.1,21,1884.4,20.0,,,,,,
/player/gea/,Gea A.,1864.0,33,1844.7,17.0,1402.7,7.0,1566.2,9.0,,
/player/keys/,Keys M.,1864.0,35,1686.7,10.0,1774.0,14.0,1780.0,11.0,,
/player/quevedo-e94b5/,Quevedo K.,1861.9,41,1790.6,10.0,1780.0,28.0,1477.1,2.0,,
/player/kennedy-8faee/,Kennedy J.,1861.7,14,,,,,,,,
/player/steur-8a849/,Steur J.,1861.5,57,,,1840.4,57.0,,,,
/player/droguet/,Droguet T.,1860.8,45,1794.4,13.0,1736.2,23.0,1576.0,5.0,1627.7,4.0
/player/piros/,Piros Z.,1860.4,47,1587.0,3.0,1845.8,41.0,1501.3,2.0,,
/player/dodig-b6156/,Dodig M.,1860.2,29,,,1872.5,26.0,1479.9,2.0,,
/player/dilek-18ef9/,Dilek D.,1859.9,20,1852.2,20.0,,,,,,
/player/dellavedova/,Dellavedova M.,1859.8,85,1659.5,32.0,1989.7,48.0,1658.7,5.0,,
/player/kroitor/,Kroitor K.,1859.6,32,1747.4,23.0,1877.9,9.0,,,,
